V1,V2,query,origin,accession,taxonomy,abbreviation,abbreviation2,gc,coverage,sample_origin,bin_size,kingdom,group,phylum,class,order,family,genus
-0.00606473831671612,-0.0463333253434154,hu-genome19,BIN,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
-0.092292747786192,-0.019585604095971,hu-genome19,BIN,>gi|973126483|gb|LGGQ01000001.1|,Microgenomates bacterium 39_7 ,M. bacterium 39_7 ,M. bacterium,39,7,SB1,703K,bacteria,,Candidatus Microgenomates,,,,
-0.141757389051142,-0.0425674469297976,hu-genome23,BIN,>gi|973118751|gb|LGGM01000001.1|,Clostridiales bacterium 38_11 ,C. bacterium 38_11 ,C. bacterium,38,11,SB1,1.8M,bacteria,terrabacteria,Firmicutes,Clostridia,Clostridiales,,
-0.173083650836865,-0.211348969483388,hu-genome24,BIN,>gi|973115486|gb|LGGJ01000001.1|,Methanocalculus sp. 52_23 ,Methanocalculus sp. 52_23 ,Methanocalculus sp.,52,23,SB1,1.9M,archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocalculaceae,Methanocalculus
-0.101331841927222,-0.154312664109487,hu-genome25,BIN,>gi|973115441|gb|LGGK01000001.1|,Anaerolineae bacterium 49_20 ,A. bacterium 49_20 ,An. Bacterium,49,20,SB1,1.0M,bacteria,terrabacteria,Chloroflexi,Anaerolineae,,,
-0.116536027134015,-0.15511680136383,hu-genome25,BIN,>gi|973115441|gb|LGGK01000001.1|,Anaerolineae bacterium 49_20 ,A. bacterium 49_20 ,An. Bacterium,49,20,SB1,1.0M,bacteria,terrabacteria,Chloroflexi,Anaerolineae,,,
-0.155648543752564,-0.0736530066929458,hu-genome26,BIN,>gi|973112280|gb|LGGH01000001.1|,Mesotoga infera isolate 46_47 ,M. infera isolate 46_47 ,M. infera,46,47,SB1,1.2M,bacteria,,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
0.228700133136019,0.0289811943725853,hu-genome27,BIN,>gi|973110956|gb|LGGI01000001.1|,Candidate division WS6 bacterium 36_33 ,WS6 bacterium 36_33 ,WS6 bacterium 2,36,33,SB1,439K,bacteria,candidate phyla,,,,,
-0.152947332379841,-0.145420662326813,hu-genome33,BIN,>gi|973101184|gb|LGGB01000001.1|,Synergistales bacterium 53_16 ,S. bacterium 53_16 ,S. bacterium,53,16,SB1,1.7M,bacteria,,Synergistetes,Synergistia,Syntergistales,,
-0.171149019378051,-0.117019188924189,hu-genome34,BIN,>gi|973097275|gb|LGGA01000001.1|,Atribacteria bacterium 34_128 ,A. bacterium 34_128 ,At. Bacterium,34,128,SB1,883K,bacteria,candidate phyla,,,,,
-0.160922000871672,-0.0777199055551638,hu-genome35,BIN,>gi|973097089|gb|LGFY01000001.1|,Marinimicrobia bacterium 46_47 ,M. bacterium 46_47 ,M. bacterium,46,47,SB1,1.6M,bacteria,FCB group,Candidatus Marinimicrobia,,,,
-0.285382339237522,0.171739384359971,hu-genome36,BIN,>gi|973095283|gb|LGFZ01000001.1|,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp.,46,296,SB1,2.2M,bacteria,terrabacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
-0.278651889758497,0.180195538823779,hu-genome36,BIN,>gi|973095283|gb|LGFZ01000001.1|,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp. 46_296 ,Desulfotomaculum sp.,46,296,SB1,2.2M,bacteria,terrabacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
-0.145959650597645,-0.0976832128007176,hu-genome37,BIN,>gi|973091715|gb|LGFX01000001.1|,Candidate division TA06 bacterium 32_111 ,TA06 bacterium 32_111 ,TA06 bacterium,32,111,SB1,1.8M,bacteria,candidate phyla,,,,,
